Title,Name,OrderIndex,DataType,Address,Length
IO_09,Transferring_FromSTK,8,Bit,D7759.8,1
IO_09,TR_REQ_FromSTK,9,Bit,D7759.9,1
IO_09,BUSY_FromSTK,10,Bit,D7759.A,1
IO_09,COMPLETE_FromSTK,11,Bit,D7759.B,1
IO_09,CRANE_1_FromSTK,12,Bit,D7759.C,1
IO_09,CRANE_2_FromSTK,13,Bit,D7759.D,1
IO_09,A.Error_FromSTK,14,Bit,D7759.E,1
IO_09,ForkNumber_FromSTK,15,Bit,D7759.F,1
IO_10,L_REQ,0,Bit,D7919.0,1
IO_10,U_REQ,1,Bit,D7919.1,1
IO_10,Ready,2,Bit,D7919.2,1
IO_10,CARRIER,3,Bit,D7919.3,1
IO_10,P.Error,4,Bit,D7919.4,1
IO_10,Spare,5,Bit,D7919.5,1
IO_10,P.Online,6,Bit,D7919.6,1
IO_10,P.E-STOP,7,Bit,D7919.7,1
IO_10,Transferring_FromSTK,8,Bit,D7919.8,1
IO_10,TR_REQ_FromSTK,9,Bit,D7919.9,1
IO_10,BUSY_FromSTK,10,Bit,D7919.A,1
IO_10,COMPLETE_FromSTK,11,Bit,D7919.B,1
IO_10,CRANE_1_FromSTK,12,Bit,D7919.C,1
IO_10,CRANE_2_FromSTK,13,Bit,D7919.D,1
IO_10,A.Error_FromSTK,14,Bit,D7919.E,1
IO_10,ForkNumber_FromSTK,15,Bit,D7919.F,1
IO_11,L_REQ,0,Bit,D8079.0,1
IO_11,U_REQ,1,Bit,D8079.1,1
IO_11,Ready,2,Bit,D8079.2,1
IO_11,CARRIER,3,Bit,D8079.3,1
IO_11,P.Error,4,Bit,D8079.4,1
IO_11,Spare,5,Bit,D8079.5,1
IO_11,P.Online,6,Bit,D8079.6,1
IO_11,P.E-STOP,7,Bit,D8079.7,1
IO_11,Transferring_FromSTK,8,Bit,D8079.8,1
IO_11,TR_REQ_FromSTK,9,Bit,D8079.9,1
IO_11,BUSY_FromSTK,10,Bit,D8079.A,1
IO_11,COMPLETE_FromSTK,11,Bit,D8079.B,1
IO_11,CRANE_1_FromSTK,12,Bit,D8079.C,1
IO_11,CRANE_2_FromSTK,13,Bit,D8079.D,1
IO_11,A.Error_FromSTK,14,Bit,D8079.E,1
